ID,X,Y,Z,PCI,RSRP(dBm)
31882600,799885.53,350019.4,1.5,1,-94.20935
31882601,799882.88,350005.67,1.5,1,-92.21945
31882602,799880.69,349991.84,1.5,1,-89.13886
31882603,799877.74,349978.14,1.5,1,-87.3059
31882604,799874.56,349965.22,1.5,1,-88.97846
31882605,799869.38,349952.71,1.5,1,-88.20654
31882606,799867.92,349938.86,1.5,1,-86.15576
31882607,799861.37,349927.23,1.5,1,-90.03017
31882608,799847.89,349926.92,1.5,1,-97.13648
31882609,799835,349932.44,1.5,1,-98.04301
31882610,799821.71,349936.79,1.5,1,-95.64036
31882611,799808.83,349942.1,1.5,1,-90.95737
31882612,799795.89,349947.28,1.5,1,-88.50659
31882613,799782.75,349946.24,1.5,1,-88.76762
31882614,799777.64,349933.4,1.5,1,-88.0286
31882615,799772.01,349920.56,1.5,1,-86.3475
31882616,799766.58,349907.67,1.5,1,-89.76486
31882617,799760.06,349895.28,1.5,1,-88.28529
31882618,799740.39,349878.59,1.5,1,-86.48427
31882619,799726.62,349881.21,1.5,1,-94.26337
31882620,799712.8,349883.54,1.5,1,-98.48313
31882621,799699.18,349885.98,1.5,1,-100.6827
31882622,799697.38,349891.73,1.5,1,-96.68543
31882623,799711.13,349889.12,1.5,1,-95.47196
31882624,799724.64,349885.4,1.5,1,-92.37337
31882625,799738,349884.68,1.5,1,-87.24641
31882626,799751.89,349886.28,1.5,1,-88.23029
31882627,799762.71,349894.26,1.5,1,-88.00115
31882628,799767.99,349907.07,1.5,1,-86.83676
31882629,799774.19,349919.58,1.5,1,-90.73229
31882630,799779.23,349932.61,1.5,1,-88.25506
31882631,799778.8,349944.64,1.5,1,-87.249
31882632,799772.2,349954.77,1.5,1,-91.10471
31882633,799758.72,349958.63,1.5,1,-102.5777
31882634,799745.15,349962.16,1.5,1,-103.3315
31882635,799732.01,349966.99,1.5,1,-104.3068
31882636,799719.53,349973.09,1.5,1,-104.5416
31882637,799719.23,350006.82,1.5,1,-104.6518
31882638,799721.12,350020.49,1.5,1,-103.4633
31882639,799723.41,350034.11,1.5,1,-105.8994
31882640,799724.65,350047.94,1.5,1,-103.2304
31882641,799729.21,350061.07,1.5,1,-105.7564
31882642,799729.24,350074.45,1.5,1,-104.5414
31882643,799731.74,350088.07,1.5,1,-104.2581
31882644,799735.44,350100.97,1.5,1,-107.129
31882645,799738.21,350114.35,1.5,1,-104.8805
31882646,799739.28,350128.14,1.5,1,-101.4516
31882647,799740.95,350141.84,1.5,1,-100.6711
31882648,799742.6,350155.54,1.5,1,-95.39053
31882649,799744.73,350168.19,1.5,1,-99.73428
31882650,799746.78,350181.71,1.5,1,-102.1982
31882651,799747.59,350195.55,1.5,1,-100.2583
31882652,799748.4,350209.41,1.5,1,-103.4822
31882653,799750.91,350222.83,1.5,1,-104.1377
31882654,799755.71,350235.67,1.5,1,-104.4332
31882655,799758.49,350249.16,1.5,1,-102.6089
31882656,799754.21,350260.94,1.5,1,-107.3807
31882657,799755.87,350274.75,1.5,1,-107.1737
31882658,799756.79,350288.64,1.5,1,-105.6599
31882659,799803.18,350301.05,1.5,1,-109.0362
31882660,799816.98,350298.76,1.5,1,-102.7437
31882661,799827.32,350290.02,1.5,1,-100.9347
31882662,799827.16,350276.27,1.5,1,-96.39352
31882663,799825.39,350262.4,1.5,1,-98.95082
31882664,799823.66,350248.54,1.5,1,-101.5317
31882665,799820.54,350234.9,1.5,1,-100.5991
31882666,799818.81,350221.11,1.5,1,-103.2874
31882667,799816.31,350207.38,1.5,1,-97.61807
31882668,799815.93,350193.8,1.5,1,-99.4984
31882669,799813.71,350189.18,1.5,1,-99.18972
31882670,799810.57,350175.54,1.5,1,-95.82329
31882671,799808.78,350161.72,1.5,1,-94.05133
31882672,799807.97,350147.82,1.5,1,-96.54328
31882673,799807.27,350133.93,1.5,1,-96.8357
31882674,799807.06,350119.95,1.5,1,-98.40508
31882675,799805.35,350106.1,1.5,1,-100.1296
31882676,799802.68,350092.34,1.5,1,-100.5083
31882677,799801.44,350078.5,1.5,1,-97.7339
31882678,799799.7,350064.73,1.5,1,-101.1055
31882679,799798.89,350050.9,1.5,1,-94.09911
31882680,799796.72,350037.13,1.5,1,-96.11666
31882681,799794.79,350023.31,1.5,1,-96.59673
31882682,799793.43,350009.4,1.5,1,-94.16302
31882683,799792.15,349995.48,1.5,1,-90.76119
