ID,X,Y,Z,PCI,RSRP(dBm)
31881428,801167.74,348584.64,1.5,2,-59.82973
31881429,801170.01,348594.33,1.5,2,-64.80043
31881430,801183.93,348594.65,1.5,2,-64.11684
31881431,801197.84,348593.11,1.5,2,-65.25656
31881432,801211.75,348591.31,1.5,2,-67.06068
31881433,801225.77,348591.25,1.5,2,-67.89741
31881434,801239.34,348594.12,1.5,2,-70.45871
31881435,801249.49,348603.26,1.5,2,-72.19575
31881436,801254.62,348616.23,1.5,2,-73.86405
31881437,801251.24,348629.65,1.5,2,-74.42662
31881438,801241.26,348639.08,1.5,2,-73.01817
31881439,801228.47,348644.73,1.5,2,-73.30422
31881440,801217.15,348652.74,1.5,2,-71.59138
31881441,801206.21,348661.44,1.5,2,-71.29728
31881442,801194.25,348668.79,1.5,2,-72.51715
31881443,801182.8,348676.76,1.5,2,-71.80953
31881444,801170.91,348683.66,1.5,2,-74.38429
31881445,801157.03,348685.15,1.5,2,-76.05135
31881446,801143.87,348689.87,1.5,2,-76.82025
31881447,801130.67,348693.96,1.5,2,-77.52069
31881448,801119.16,348686.8,1.5,2,-77.65733
31881449,801149.63,348611.82,1.5,2,-65.99633
31881450,801155.19,348599.08,1.5,2,-60.21916
31881451,801160.88,348586.4,1.5,2,-53.4154
31881452,801159,348588.83,1.5,2,-62.3
31881453,801152.27,348601.31,1.5,2,-60.93103
31881454,801145.53,348613.79,1.5,2,-60.13448
31881455,801138.88,348614.21,1.5,2,-58.78086
31881456,801136.72,348608.23,1.5,2,-63.78632
31881457,801123.66,348604.04,1.5,2,-54.45927
31881458,801113.53,348605.56,1.5,2,-47.31605
31881459,801120.4,348609.27,1.5,2,-41.8794
31881460,801322.95,348450.25,1.5,2,-78.33418
31881461,801323.61,348462.75,1.5,2,-76.59688
31881462,801324.58,348476.58,1.5,2,-75.75841
31881463,801322.41,348490.26,1.5,2,-68.38637
31881464,801318.67,348503.69,1.5,2,-65.69474
