[ID] [name of material]  [Thickness]   [Color: Red]  [Color: Green]  [Color: Blue]   [Frequency (in MHz)]  [Dielectrictity (relative)]   [Permeability (relative)]   [Conductivity (in S/m)]   [Transmission Loss (in dB)]   [Reflection Loss (in dB)] 
15  "Foam Concrete; thickness: 0.1 m." 128 0 0 5000 2.3 1 0.042 4.87 13.74
16  "Foam Concrete; thickness: 0.2 m." 128 0 0 900 2.3 1 0.008 1.99 13.74
16  "Foam Concrete; thickness: 0.2 m." 128 0 0 1800 2.3 1 0.015 3.61 13.74
16  "Foam Concrete; thickness: 0.2 m." 128 0 0 2000 2.3 1 0.017 3.97 13.74
16  "Foam Concrete; thickness: 0.2 m." 128 0 0 3500 2.3 1 0.029 6.67 13.74
16  "Foam Concrete; thickness: 0.2 m." 128 0 0 5000 2.3 1 0.042 9.37 13.74
17  "Foam Concrete; thickness: 0.3 m." 128 0 0 900 2.3 1 0.008 2.8 13.74
17  "Foam Concrete; thickness: 0.3 m." 128 0 0 1800 2.3 1 0.015 5.23 13.74
17  "Foam Concrete; thickness: 0.3 m." 128 0 0 2000 2.3 1 0.017 5.77 13.74
17  "Foam Concrete; thickness: 0.3 m." 128 0 0 3500 2.3 1 0.029 9.82 13.74
17  "Foam Concrete; thickness: 0.3 m." 128 0 0 5000 2.3 1 0.042 13.87 13.74
18  "Glass; thickness: 0.002 m." 158 185 248 900 6 1 0.003 1.69 7.53
18  "Glass; thickness: 0.002 m." 158 185 248 1800 6 1 0.005 1.69 7.53
18  "Glass; thickness: 0.002 m." 158 185 248 2000 6 1 0.006 1.69 7.53
18  "Glass; thickness: 0.002 m." 158 185 248 3500 6 1 0.009 1.7 7.53
18  "Glass; thickness: 0.002 m." 158 185 248 5000 6 1 0.014 1.71 7.53
19  "Glass; thickness: 0.005 m." 158 185 248 900 6 1 0.003 1.7 7.53
19  "Glass; thickness: 0.005 m." 158 185 248 1800 6 1 0.005 1.7 7.53
19  "Glass; thickness: 0.005 m." 158 185 248 2000 6 1 0.006 1.71 7.53
19  "Glass; thickness: 0.005 m." 158 185 248 3500 6 1 0.009 1.72 7.53
19  "Glass; thickness: 0.005 m." 158 185 248 5000 6 1 0.014 1.73 7.53
